category,item,manufacturer_model,qty_final,qty_first_order,status,mechanical_or_electrical_requirement,official_link,purchase_link,notes
MATERIAL,cosmetic/service filament,Bambu PETG-HF white 1 kg,1,1,SELECTED,"0.4 mm nozzle; dry; 4 walls; 25-30% gyroid",https://bambulab.cn/zh-cn/filament/petg-hf,https://bambulab.cn/zh-cn/filament/petg-hf,"Head shells and visible service parts."
MATERIAL,visor filament,Bambu PETG-HF black,1,1,SELECTED,"0.4 mm nozzle; only a small quantity is consumed",https://bambulab.cn/zh-cn/filament/petg-hf,https://bambulab.cn/zh-cn/filament/petg-hf,"A partial spool is sufficient if available."
METAL_TORQUE,PCD14 output bridge,custom 6061-T6 OD19.95 ID6.2 4xD3.2 PCD14 t2.05,16,2,CUSTOM_QUOTE_AFTER_PLASTIC_FIT,"Final powered torque path; use fit_check_only/04 STEP",https://jlccnc.com/,https://jlccnc.com/,"Plastic 3MF is fit-check only. Quote 2 first, then 14 after shaft/PCD check."
METAL_THRUST,parent thrust ring,custom POM or 6061-T6 OD25 ID20.4 t2.0,16,2,CUSTOM_QUOTE_AFTER_PLASTIC_FIT,"Parent-side axial/thrust interface; use fit_check_only/02 STEP",https://jlccnc.com/,https://jlccnc.com/,"Deburr and keep bearing face flat."
METAL_SPACER,hip-yaw sleeve,custom metal OD4 ID3 L1.65,8,8,CUSTOM_QUOTE_AFTER_PLASTIC_FIT,"Four per hip yaw; use fit_check_only/03 STEP",https://jlccnc.com/,https://jlccnc.com/,"Machine/grind to matched thickness; do not use printed sleeves for power."
FASTENER,M3 socket head screw,ISO 4762 M3x6,80,20,STACK_CHECK_REQUIRED,"PCD14 and carrier fastening; verify effective thread engagement",https://www.mcmaster.com/products/socket-head-screws/,https://www.mcmaster.com/products/socket-head-screws/,"Final count/length must follow first printed stack measurement."
FASTENER,M3 socket head screw,ISO 4762 M3x8,20,10,STACK_CHECK_REQUIRED,"Joint/sole mounting",https://www.mcmaster.com/products/socket-head-screws/,https://www.mcmaster.com/products/socket-head-screws/,"Buy class 12.9 or stainless only where appropriate; use threadlocker per joint procedure."
FASTENER,M3 socket head screw,ISO 4762 M3x12,20,10,STACK_CHECK_REQUIRED,"Body/head/sole stack",https://www.mcmaster.com/products/socket-head-screws/,https://www.mcmaster.com/products/socket-head-screws/,"Measure before full order."
FASTENER,M3 socket head screw,ISO 4762 M3x30,6,4,STACK_CHECK_REQUIRED,"Long body/head stack where specified",https://www.mcmaster.com/products/socket-head-screws/,https://www.mcmaster.com/products/socket-head-screws/,"Measure before full order."
FASTENER,M2 socket head assortment,M2x6 M2x8 M2x10,130,40,STACK_CHECK_REQUIRED,"STS3250 rear-case and small service mounts; minimum M2x8 quantity 8 for hip yaw",https://www.mcmaster.com/products/socket-head-screws/,https://www.mcmaster.com/products/socket-head-screws/,"Suggested split 50/50/30; exact count after one carrier build."
FASTENER,M2.5 socket head screw,M2.5x8,20,8,STACK_CHECK_REQUIRED,"electronics board mounts",https://www.mcmaster.com/products/socket-head-screws/,https://www.mcmaster.com/products/socket-head-screws/,"Use nylon washer where PCB clearance requires."
FASTENER,M3 washer and nyloc nut,M3,100/50,20/10,SELECTED,"Joint fastening and service covers",https://www.mcmaster.com/products/metric-washers/,https://www.mcmaster.com/products/metric-washers/,"Do not stack washers to replace precision torque-path spacers."
INSERT,M3 heat-set insert,OD4.6xL5 nominal,30,10,COUPON_CHECK_REQUIRED,"PETG/PA6 printed bosses",https://www.mcmaster.com/products/inserts/heat-set-inserts-for-plastic/,https://www.mcmaster.com/products/inserts/heat-set-inserts-for-plastic/,"Print an insert coupon and tune hole compensation/temperature first."
POWER_DIST,main fuse and holder,20 A automotive blade or resettable equivalent,1,1,SELECTED,"Within 100 mm of battery positive; >=20 A wiring rating",https://www.littelfuse.com/products/fuses/automotive-passenger-car/blade-fuses,https://www.littelfuse.com/products/fuses/automotive-passenger-car/blade-fuses,"Final rating must be revisited after measured stall/branch current."
POWER_DIST,physical emergency stop / master disconnect,latching DC-rated >=20 A,1,1,SELECTED,"break battery positive; accessible without reaching through robot",https://www.mouser.com/c/electromechanical/switches/emergency-stop-switches-safety-switches/,https://www.mouser.com/c/electromechanical/switches/emergency-stop-switches-safety-switches/,"Bench first article may use removable XT30 as master disconnect, but final robot needs a guarded physical control."
HARNESS,power wire,silicone 16 AWG red/black,2 m,2 m,SELECTED,"battery and trunk; voltage-drop and temperature test",https://www.digikey.com/en/products/filter/single-conductor-cables-hook-up-wire/474,https://www.digikey.com/en/products/filter/single-conductor-cables-hook-up-wire/474,"Use crimped/soldered strain-relieved joints and fused branches."
HARNESS,branch wire,silicone 20 AWG red/black,4 m,2 m,SELECTED,"servo branches; keep out of joint shear planes",https://www.digikey.com/en/products/filter/single-conductor-cables-hook-up-wire/474,https://www.digikey.com/en/products/filter/single-conductor-cables-hook-up-wire/474,"Size again from measured branch current and run length."
HARNESS,servo extension/branch,FEETECH ST-series 3-pin 5264/2.54-compatible,1 set,1 set,CONNECTOR_SAMPLE_REQUIRED,"polarity and pin pitch verified against purchased STS3250",https://www.feetechrc.com/en/562636.html,https://www.feetechrc.com/en/562636.html,"Order connector samples before making full harness; do not trust color alone."
HARNESS,battery connectors,XT30 male/female genuine or AMASS equivalent,6 pairs,3 pairs,SELECTED,"battery, fuse, removable branches",https://www.amass.com.cn/,https://www.amass.com.cn/,"Add heat-shrink and strain relief."
FOOT,anti-slip pad,2 mm rubber or TPU95A adhesive sheet,1 sheet,1 sheet,CUT_AFTER_PRINT,"cut to sole outline; update contact height in URDF if thickness changes nominal sole plane",https://bambulab.cn/zh-cn/filament-guide,https://bambulab.cn/zh-cn/filament-guide,"Do not hide thickness from RL contact model."
FINISH,nylon-compatible primer and white topcoat,local paint system,1 set,0,OPTIONAL_AFTER_FIRST_ARTICLE,"only after fit/motion pass; mask joint interfaces, threads and bearing faces",,,"Do not paint before measuring and dry-fit."
