release_name,quantity,role,part_class,material,nozzle_mm,nozzle,layer_mm,walls,top_bottom_layers,infill_percent,infill_pattern,support,bbox_mm,solid_volume_mm3,solid_material_upper_bound_g_each,assembly_frame_step,print_oriented_step,stl,three_mf
21_left_fixed_wrist_support,1,fixed_compact_wrist_support,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[20.0, 14.0, 7.0]",1597.694,1.885,manufacturing/v5_bambu_first_article_release/step/assembly_frame/21_left_fixed_wrist_support.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/21_left_fixed_wrist_support.step,manufacturing/v5_bambu_first_article_release/stl/21_left_fixed_wrist_support.stl,manufacturing/v5_bambu_first_article_release/3mf/21_left_fixed_wrist_support.3mf
22_left_tapered_sole_flare,1,replaceable_white_tapered_lower_wider_sole,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[96.06, 46.06, 9.0]",36363.13,42.908,manufacturing/v5_bambu_first_article_release/step/assembly_frame/22_left_tapered_sole_flare.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/22_left_tapered_sole_flare.step,manufacturing/v5_bambu_first_article_release/stl/22_left_tapered_sole_flare.stl,manufacturing/v5_bambu_first_article_release/3mf/22_left_tapered_sole_flare.3mf
23_r_arm_mirror_1_sts3250_wrist_mount,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[83.498, 40.12, 39.537]",24258.52,28.625,manufacturing/v5_bambu_first_article_release/step/assembly_frame/23_r_arm_mirror_1_sts3250_wrist_mount.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/23_r_arm_mirror_1_sts3250_wrist_mount.step,manufacturing/v5_bambu_first_article_release/stl/23_r_arm_mirror_1_sts3250_wrist_mount.stl,manufacturing/v5_bambu_first_article_release/3mf/23_r_arm_mirror_1_sts3250_wrist_mount.3mf
24_right_fixed_wrist_support,1,fixed_compact_wrist_support,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[20.0, 14.0, 7.0]",1597.694,1.885,manufacturing/v5_bambu_first_article_release/step/assembly_frame/24_right_fixed_wrist_support.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/24_right_fixed_wrist_support.step,manufacturing/v5_bambu_first_article_release/stl/24_right_fixed_wrist_support.stl,manufacturing/v5_bambu_first_article_release/3mf/24_right_fixed_wrist_support.3mf
25_right_tapered_sole_flare,1,replaceable_white_tapered_lower_wider_sole,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[96.06, 46.06, 9.0]",36363.13,42.908,manufacturing/v5_bambu_first_article_release/step/assembly_frame/25_right_tapered_sole_flare.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/25_right_tapered_sole_flare.step,manufacturing/v5_bambu_first_article_release/stl/25_right_tapered_sole_flare.stl,manufacturing/v5_bambu_first_article_release/3mf/25_right_tapered_sole_flare.3mf
26_torso_mounted_solid,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[134.605, 127.852, 103.675]",233309.94,275.306,manufacturing/v5_bambu_first_article_release/step/assembly_frame/26_torso_mounted_solid.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/26_torso_mounted_solid.step,manufacturing/v5_bambu_first_article_release/stl/26_torso_mounted_solid.stl,manufacturing/v5_bambu_first_article_release/3mf/26_torso_mounted_solid.3mf
27_u_hip_l_mount_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[53.236, 70.28, 40.439]",3864.812,4.56,manufacturing/v5_bambu_first_article_release/step/assembly_frame/27_u_hip_l_mount_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/27_u_hip_l_mount_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/27_u_hip_l_mount_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/27_u_hip_l_mount_clearanced.3mf
28_u_hip_r_mount_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[53.236, 70.28, 40.439]",4885.022,5.764,manufacturing/v5_bambu_first_article_release/step/assembly_frame/28_u_hip_r_mount_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/28_u_hip_r_mount_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/28_u_hip_r_mount_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/28_u_hip_r_mount_clearanced.3mf
29_z_bot2_master_shoulder2_2_sts3250_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[40.64, 29.842, 29.785]",2530.439,2.986,manufacturing/v5_bambu_first_article_release/step/assembly_frame/29_z_bot2_master_shoulder2_2_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/29_z_bot2_master_shoulder2_2_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/29_z_bot2_master_shoulder2_2_sts3250_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/29_z_bot2_master_shoulder2_2_sts3250_clearanced.3mf
30_z_bot2_master_shoulder2_sts3250_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[40.64, 29.842, 29.785]",2530.628,2.986,manufacturing/v5_bambu_first_article_release/step/assembly_frame/30_z_bot2_master_shoulder2_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/30_z_bot2_master_shoulder2_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/30_z_bot2_master_shoulder2_sts3250_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/30_z_bot2_master_shoulder2_sts3250_clearanced.3mf
