object_type,object_name,field_group,status,source,confidence,remaining_action
link,hip_yaw_right,mass_com_inertia,PASS,official_zeroth_sim_urdf,official_aggregate_cad_export_unmeasured,weigh assembled links and update after first hardware build
link,hip_yaw_right,visual_geometry,PASS,official_drive_stl,official_open_surface_mesh,replace with native B-Rep only if released or reverse-modeled
link,hip_yaw_right,collision_geometry,PASS,official_drive_stl_plus_collision_policy,sampled_mesh_collision_not_tolerance_proof,keep online self-collision guard outside startup envelope
link,hip_yaw_left,mass_com_inertia,PASS,official_zeroth_sim_urdf,official_aggregate_cad_export_unmeasured,weigh assembled links and update after first hardware build
link,hip_yaw_left,visual_geometry,PASS,official_drive_stl,official_open_surface_mesh,replace with native B-Rep only if released or reverse-modeled
link,hip_yaw_left,collision_geometry,PASS,official_drive_stl_plus_collision_policy,sampled_mesh_collision_not_tolerance_proof,keep online self-collision guard outside startup envelope
link,left_shoulder_yaw_motor,mass_com_inertia,PASS,official_zeroth_sim_urdf,official_aggregate_cad_export_unmeasured,weigh assembled links and update after first hardware build
link,left_shoulder_yaw_motor,visual_geometry,PASS,official_drive_stl,official_open_surface_mesh,replace with native B-Rep only if released or reverse-modeled
link,left_shoulder_yaw_motor,collision_geometry,PASS,official_drive_stl_plus_collision_policy,sampled_mesh_collision_not_tolerance_proof,keep online self-collision guard outside startup envelope
link,hip_roll_right,mass_com_inertia,PASS,official_zeroth_sim_urdf,official_aggregate_cad_export_unmeasured,weigh assembled links and update after first hardware build
link,hip_roll_right,visual_geometry,PASS,official_drive_stl,official_open_surface_mesh,replace with native B-Rep only if released or reverse-modeled
link,hip_roll_right,collision_geometry,PASS,official_drive_stl_plus_collision_policy,sampled_mesh_collision_not_tolerance_proof,keep online self-collision guard outside startup envelope
link,hip_roll_left,mass_com_inertia,PASS,official_zeroth_sim_urdf,official_aggregate_cad_export_unmeasured,weigh assembled links and update after first hardware build
link,hip_roll_left,visual_geometry,PASS,official_drive_stl,official_open_surface_mesh,replace with native B-Rep only if released or reverse-modeled
link,hip_roll_left,collision_geometry,PASS,official_drive_stl_plus_collision_policy,sampled_mesh_collision_not_tolerance_proof,keep online self-collision guard outside startup envelope
link,Left_Hand,mass_com_inertia,PASS,official_zeroth_sim_urdf,official_aggregate_cad_export_unmeasured,weigh assembled links and update after first hardware build
link,Left_Hand,visual_geometry,PASS,official_drive_stl,official_open_surface_mesh,replace with native B-Rep only if released or reverse-modeled
link,Left_Hand,collision_geometry,PASS,official_drive_stl_plus_collision_policy,sampled_mesh_collision_not_tolerance_proof,keep online self-collision guard outside startup envelope
link,hand_right,mass_com_inertia,PASS,official_zeroth_sim_urdf,official_aggregate_cad_export_unmeasured,weigh assembled links and update after first hardware build
link,hand_right,visual_geometry,PASS,official_drive_stl,official_open_surface_mesh,replace with native B-Rep only if released or reverse-modeled
link,hand_right,collision_geometry,PASS,official_drive_stl_plus_collision_policy,sampled_mesh_collision_not_tolerance_proof,keep online self-collision guard outside startup envelope
link,knee_pitch_right,mass_com_inertia,PASS,official_zeroth_sim_urdf,official_aggregate_cad_export_unmeasured,weigh assembled links and update after first hardware build
link,knee_pitch_right,visual_geometry,PASS,official_drive_stl,official_open_surface_mesh,replace with native B-Rep only if released or reverse-modeled
link,knee_pitch_right,collision_geometry,PASS,official_drive_stl_plus_collision_policy,sampled_mesh_collision_not_tolerance_proof,keep online self-collision guard outside startup envelope
link,knee_pitch_right_2,mass_com_inertia,PASS,official_zeroth_sim_urdf,official_aggregate_cad_export_unmeasured,weigh assembled links and update after first hardware build
link,knee_pitch_right_2,visual_geometry,PASS,official_drive_stl,official_open_surface_mesh,replace with native B-Rep only if released or reverse-modeled
link,knee_pitch_right_2,collision_geometry,PASS,official_drive_stl_plus_collision_policy,sampled_mesh_collision_not_tolerance_proof,keep online self-collision guard outside startup envelope
link,ankle_pitch_right,mass_com_inertia,PASS,official_zeroth_sim_urdf,official_aggregate_cad_export_unmeasured,weigh assembled links and update after first hardware build
link,ankle_pitch_right,visual_geometry,PASS,official_drive_stl,official_open_surface_mesh,replace with native B-Rep only if released or reverse-modeled
link,ankle_pitch_right,collision_geometry,PASS,official_drive_stl_plus_collision_policy,sampled_mesh_collision_not_tolerance_proof,keep online self-collision guard outside startup envelope
link,ankle_pitch_left,mass_com_inertia,PASS,official_zeroth_sim_urdf,official_aggregate_cad_export_unmeasured,weigh assembled links and update after first hardware build
link,ankle_pitch_left,visual_geometry,PASS,official_drive_stl,official_open_surface_mesh,replace with native B-Rep only if released or reverse-modeled
link,ankle_pitch_left,collision_geometry,PASS,official_drive_stl_plus_collision_policy,sampled_mesh_collision_not_tolerance_proof,keep online self-collision guard outside startup envelope
link,foot_right,mass_com_inertia,PASS,official_zeroth_sim_urdf,official_aggregate_cad_export_unmeasured,weigh assembled links and update after first hardware build
link,foot_right,visual_geometry,PASS,official_drive_stl,official_open_surface_mesh,replace with native B-Rep only if released or reverse-modeled
link,foot_right,collision_geometry,PASS,official_drive_stl_plus_collision_policy,sampled_mesh_collision_not_tolerance_proof,keep online self-collision guard outside startup envelope
link,foot_left,mass_com_inertia,PASS,official_zeroth_sim_urdf,official_aggregate_cad_export_unmeasured,weigh assembled links and update after first hardware build
link,foot_left,visual_geometry,PASS,official_drive_stl,official_open_surface_mesh,replace with native B-Rep only if released or reverse-modeled
link,foot_left,collision_geometry,PASS,official_drive_stl_plus_collision_policy,sampled_mesh_collision_not_tolerance_proof,keep online self-collision guard outside startup envelope
joint,right_shoulder_pitch,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,right_shoulder_pitch,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,right_shoulder_pitch,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,right_shoulder_pitch,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,left_shoulder_pitch,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,left_shoulder_pitch,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,left_shoulder_pitch,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,left_shoulder_pitch,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,right_shoulder_yaw,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,right_shoulder_yaw,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,right_shoulder_yaw,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,right_shoulder_yaw,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,right_hip_pitch,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,right_hip_pitch,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,right_hip_pitch,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,right_hip_pitch,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,left_hip_pitch,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,left_hip_pitch,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,left_hip_pitch,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,left_hip_pitch,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,left_shoulder_yaw,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,left_shoulder_yaw,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,left_shoulder_yaw,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,left_shoulder_yaw,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,right_hip_yaw,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,right_hip_yaw,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,right_hip_yaw,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,right_hip_yaw,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,left_hip_yaw,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,left_hip_yaw,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,left_hip_yaw,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,left_hip_yaw,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,right_elbow_yaw,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,right_elbow_yaw,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,right_elbow_yaw,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,right_elbow_yaw,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,left_elbow_yaw,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,left_elbow_yaw,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,left_elbow_yaw,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,left_elbow_yaw,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,right_hip_roll,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,right_hip_roll,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,right_hip_roll,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,right_hip_roll,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,left_hip_roll,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,left_hip_roll,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,left_hip_roll,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,left_hip_roll,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,right_knee_pitch,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,right_knee_pitch,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,right_knee_pitch,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,right_knee_pitch,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,left_knee_pitch,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,left_knee_pitch,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,left_knee_pitch,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,left_knee_pitch,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,right_ankle_pitch,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,right_ankle_pitch,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,right_ankle_pitch,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,right_ankle_pitch,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
joint,left_ankle_pitch,kinematic_frame_axis,PASS,official_zeroth_sim_urdf,official,none
joint,left_ankle_pitch,guarded_limits_dynamics,PASS,official_sim_plus_collision_audit,sampled_guarded,expand only with collision-aware policy
joint,left_ankle_pitch,servo_model_and_spatial_position,PASS,official_bom_plus_urdf_joint_frame,official_model_and_shaft_frame,housing center remains embedded in aggregate mesh
joint,left_ankle_pitch,hardware_id_zero_direction,BLOCKED_HARDWARE_CALIBRATION,kscale_family_candidate_only,requires_physical_calibration,"bus scan, zero fixture and low-torque jog are mandatory"
